id	code	symbol	name	rootShape	handCommands	activeFingers	fingerShapeCommands
273089	0x42ac1	񂫁	HAND-CUP OPEN THUMB FORWARD	CUP	OPEN	THUMB	THUMB:FORWARD	
273185	0x42b21	񂬡	HAND-CUP THUMB FORWARD	CUP		THUMB	THUMB:FORWARD	
273281	0x42b81	񂮁	HAND-CURLICUE OPEN	CURLICUE	OPEN			
273377	0x42be1	񂯡	HAND-CURLICUE	CURLICUE				
273473	0x42c41	񂱁	HAND-CIRCLE	CIRCLE				
273569	0x42ca1	񂲡	HAND-OVAL	OVAL				
273665	0x42d01	񂴁	HAND-OVAL THUMB SIDE	OVAL		THUMB	THUMB:SIDE	
273761	0x42d61	񂵡	HAND-OVAL NO THUMB	OVAL		THUMB		GROUP(CONJOINED:THUMB|PALM)
273857	0x42dc1	񂷁	HAND-OVAL THUMB FORWARD	OVAL		THUMB	THUMB:FORWARD	
273953	0x42e21	񂸡	HAND-HINGE OPEN	HINGE	OPEN			
274049	0x42e81	񂺁	HAND-HINGE OPEN THUMB FORWARD	HINGE	OPEN	THUMB	THUMB:FORWARD	
274145	0x42ee1	񂻡	HAND-HINGE	HINGE				
274241	0x42f41	񂽁	HAND-HINGE SMALL	HINGE	SMALL			
274337	0x42fa1	񂾡	HAND-HINGE OPEN THUMB SIDE	HINGE	OPEN	THUMB	THUMB:SIDE	
274433	0x43001	񃀁	HAND-HINGE THUMB SIDE	HINGE		THUMB	THUMB:SIDE	
274529	0x43061	񃁡	HAND-HINGE OPEN NO THUMB	HINGE	OPEN	THUMB		GROUP(CONJOINED:THUMB|PALM)
274625	0x430c1	񃃁	HAND-HINGE NO THUMB	HINGE		THUMB		GROUP(CONJOINED:THUMB|PALM)
274721	0x43121	񃄡	HAND-HINGE THUMB SIDE TOUCHING INDEX	HINGE		THUMB,INDEX	THUMB:SIDE	MOVE(THUMB-->TOUCHING:INDEX)
274817	0x43181	񃆁	HAND-HINGE THUMB BETWEEN MIDDLE RING	HINGE		THUMB,MIDDLE,RING		MOVE(THUMB-->BETWEEN:MIDDLE|RING)
274913	0x431e1	񃇡	HAND-ANGLE	ANGLE				
275009	0x43241	񃉁	HAND-FIST INDEX MIDDLE RING	FIST		INDEX,MIDDLE,RING		
275105	0x432a1	񃊡	HAND-CIRCLE INDEX MIDDLE RING	CIRCLE		INDEX,MIDDLE,RING		
275201	0x43301	񃌁	HAND-HINGE INDEX MIDDLE RING	HINGE		INDEX,MIDDLE,RING		
275297	0x43361	񃍡	HAND-ANGLE INDEX MIDDLE RING	ANGLE		INDEX,MIDDLE,RING		
275393	0x433c1	񃏁	HAND-HINGE LITTLE	HINGE		LITTLE		
275489	0x43421	񃐡	HAND-FIST INDEX MIDDLE RING BENT	FIST		INDEX,MIDDLE,RING	INDEX:BENT,MIDDLE:BENT,RING:BENT	
275585	0x43481	񃒁	HAND-FIST INDEX MIDDLE RING CONJOINED	FIST		INDEX,MIDDLE,RING		GROUP(CONJOINED:INDEX|MIDDLE|RING)
275681	0x434e1	񃓡	HAND-HINGE INDEX MIDDLE RING CONJOINED	HINGE		INDEX,MIDDLE,RING		GROUP(CONJOINED:INDEX|MIDDLE|RING)
275777	0x43541	񃕁	HAND-FIST LITTLE DOWN	FIST		LITTLE	LITTLE:DOWN	
275873	0x435a1	񃖡	HAND-FIST LITTLE DOWN RIPPLE STRAIGHT	FIST	RIPPLE_STRAIGHT	LITTLE	LITTLE:DOWN	
275969	0x43601	񃘁	HAND-FIST LITTLE DOWN RIPPLE CURVED	FIST	RIPPLE_CURVED	LITTLE	LITTLE:DOWN	
276065	0x43661	񃙡	HAND-FIST LITTLE DOWN OTHERS CIRCLED	FIST		LITTLE,THUMB,INDEX,MIDDLE,RING	LITTLE:DOWN	GROUP(CIRCLED:THUMB|INDEX|MIDDLE|RING)
276161	0x436c1	񃛁	HAND-FIST LITTLE UP	FIST		LITTLE	LITTLE:UP	
276257	0x43721	񃜡	HAND-FIST THUMB UNDER LITTLE UP	FIST		THUMB,LITTLE	LITTLE:UP	MOVE(THUMB-->UNDER:LITTLE)
276353	0x43781	񃞁	HAND-CIRCLE LITTLE UP	CIRCLE		LITTLE	LITTLE:UP	
276449	0x437e1	񃟡	HAND-OVAL LITTLE UP	OVAL		LITTLE	LITTLE:UP	
276545	0x43841	񃡁	HAND-ANGLE LITTLE UP	ANGLE		LITTLE	LITTLE:UP	
276641	0x438a1	񃢡	HAND-FIST LITTLE RAISED KNUCKLE	FIST		LITTLE	LITTLE:RAISED_KNUCKLE	
276737	0x43901	񃤁	HAND-FIST LITTLE BENT	FIST		LITTLE	LITTLE:BENT	
276833	0x43961	񃥡	HAND-FIST LITTLE TOUCHES THUMB	FIST		LITTLE,THUMB		MOVE(LITTLE-->TOUCHING:THUMB)
276929	0x439c1	񃧁	HAND-FIST LITTLE THUMB	FIST		LITTLE,THUMB		
277025	0x43a21	񃨡	HAND-HINGE LITTLE THUMB	HINGE		LITTLE,THUMB		
277121	0x43a81	񃪁	HAND-FIST LITTLE INDEX THUMB	FIST		LITTLE,INDEX,THUMB		
277217	0x43ae1	񃫡	HAND-HINGE LITTLE INDEX THUMB	HINGE		LITTLE,INDEX,THUMB		
277313	0x43b41	񃭁	HAND-ANGLE LITTLE INDEX THUMB INDEX THUMB OUT	ANGLE		LITTLE,INDEX,THUMB,INDEX,THUMB	LITTLE:OUT,INDEX:OUT,THUMB:OUT,INDEX:OUT,THUMB:OUT	
277409	0x43ba1	񃮡	HAND-ANGLE LITTLE INDEX THUMB INDEX THUMB	ANGLE		LITTLE,INDEX,THUMB,INDEX,THUMB		
277505	0x43c01	񃰁	HAND-FIST LITTLE INDEX	FIST		LITTLE,INDEX		
277601	0x43c61	񃱡	HAND-CIRCLE LITTLE INDEX	CIRCLE		LITTLE,INDEX		
277697	0x43cc1	񃳁	HAND-HINGE LITTLE INDEX	HINGE		LITTLE,INDEX		
277793	0x43d21	񃴡	HAND-ANGLE LITTLE INDEX	ANGLE		LITTLE,INDEX		
277889	0x43d81	񃶁	HAND-FIST INDEX MIDDLE LITTLE	FIST		INDEX,MIDDLE,LITTLE		
277985	0x43de1	񃷡	HAND-CIRCLE INDEX MIDDLE LITTLE	CIRCLE		INDEX,MIDDLE,LITTLE		
